#{"t_start": 1522494660.6319315, "env_id": "HalfCheetah-v2"}
r,l,t
2361.685871,1000,2963.795733
2060.880837,1000,2967.944975
2041.609746,1000,2972.903136
2142.594074,1000,2977.117228
2550.802722,1000,2982.04256
2191.651887,1000,2986.132621
2195.195825,1000,2991.04441
2703.497355,1000,2995.237689
2327.054324,1000,3000.177513
1565.94057,1000,3004.367367
2358.992018,1000,3009.295961
2477.832084,1000,3013.352147
2238.848876,1000,3018.305587
2549.588191,1000,3022.502042
2432.111786,1000,3027.496872
2035.632937,1000,3031.717502
2380.91432,1000,3036.650994
1879.230188,1000,3040.74375
2608.886855,1000,3045.691435
2418.093711,1000,3049.893013
2098.25348,1000,3054.871263
1351.567344,1000,3059.052968
2419.017602,1000,3064.022617
2132.166844,1000,3068.148092
2535.71236,1000,3073.063085
2160.277762,1000,3077.272255
1492.800035,1000,3082.236847
2162.905929,1000,3086.398291
2254.746872,1000,3091.396425
2299.040721,1000,3095.601822
2137.25969,1000,3100.519322
2167.374156,1000,3104.698183
2238.760352,1000,3109.653217
2435.858292,1000,3113.847059
2593.080586,1000,3118.820407
2176.686995,1000,3123.016756
2302.318825,1000,3127.933495
2670.378448,1000,3132.053917
2296.292504,1000,3137.027998
2231.593265,1000,3141.189674
2325.494959,1000,3146.199754
2885.201618,1000,3150.378481
2599.075519,1000,3155.380678
2298.090405,1000,3159.446387
2416.086784,1000,3164.439681
2443.984022,1000,3168.663004
2248.048787,1000,3173.666804
2416.999407,1000,3177.848626
2521.18382,1000,3182.849226
2477.408302,1000,3186.929513
2559.34731,1000,3191.891074
2540.686619,1000,3196.093217
2411.451929,1000,3201.095638
2598.49697,1000,3205.303199
2127.787241,1000,3210.325579
2593.966149,1000,3214.44889
2415.658442,1000,3219.411281
2308.32079,1000,3223.590101
2620.700434,1000,3228.580778
2411.814662,1000,3232.77928
2505.451896,1000,3237.795019
2509.140042,1000,3241.995159
2649.813132,1000,3246.980547
2708.995889,1000,3251.084692
2560.553512,1000,3256.070219
2340.028646,1000,3260.291714
2442.707806,1000,3265.369583
2618.604922,1000,3269.593053
2333.735377,1000,3274.632439
2747.853507,1000,3278.704389
2639.4539,1000,3283.7088
1753.133025,1000,3287.893461
2546.378274,1000,3292.912869
2355.86015,1000,3297.07433
2330.513653,1000,3302.092512
2383.291564,1000,3306.174171
2737.628696,1000,3311.148662
2099.147034,1000,3315.333122
2153.38126,1000,3320.356878
2618.024497,1000,3324.539973
2672.062793,1000,3329.56965
2584.009483,1000,3333.744841
2503.699404,1000,3338.714539
2133.918784,1000,3342.858508
2689.694734,1000,3347.893731
2749.063382,1000,3352.08453
2221.979191,1000,3357.162849
2584.917336,1000,3361.356373
2417.62793,1000,3366.373284
2279.807818,1000,3370.475597
2304.624394,1000,3375.475995
1602.812407,1000,3379.683708
2261.288738,1000,3384.748827
1925.582663,1000,3388.943186
2735.851335,1000,3393.95745
2445.987348,1000,3398.00335
2435.8915,1000,3403.040807
2881.828168,1000,3407.253245
2730.856284,1000,3412.296845
2865.796051,1000,3416.48437
2441.890801,1000,3421.518715
2642.544306,1000,3425.658961
2676.69027,1000,3430.666859
2664.778218,1000,3434.83188
2904.274903,1000,3439.895974
2643.458757,1000,3444.079779
2645.779241,1000,3449.139617
2548.307415,1000,3453.335631
2360.153197,1000,3458.356244
2696.330397,1000,3462.454541
2318.374542,1000,3467.484449
2701.919977,1000,3471.657816
2795.723872,1000,3476.713243
2835.369893,1000,3480.918549
2663.93125,1000,3485.975868
2823.445092,1000,3490.019422
2857.741302,1000,3495.101511
2355.738835,1000,3499.287985
2752.664826,1000,3504.395167
2420.725158,1000,3508.588885
2978.799012,1000,3513.667569
2867.946543,1000,3517.79603
2488.669781,1000,3522.852091
2672.764746,1000,3526.959912
2525.505235,1000,3532.03462
2624.009718,1000,3536.233608
2222.614263,1000,3541.288918
2638.159641,1000,3545.476532
2557.185222,1000,3550.53282
2745.334755,1000,3554.633485
2532.622252,1000,3559.690916
2126.365478,1000,3563.855704
2367.698157,1000,3568.944877
2880.36761,1000,3573.127985
2584.29618,1000,3578.197271
2863.970426,1000,3582.285696
2563.44508,1000,3587.344117
2947.302441,1000,3591.520741
2667.544584,1000,3596.610013
2632.481165,1000,3600.808512
2578.878588,1000,3605.948814
2855.393279,1000,3610.146344
2633.07021,1000,3615.213133
1812.186851,1000,3619.395575
2528.089155,1000,3624.499459
2749.920343,1000,3628.717242
2368.492327,1000,3633.809422
2364.590478,1000,3638.01923
2688.609376,1000,3643.097401
3080.238849,1000,3647.197583
2428.485731,1000,3652.270834
2468.710872,1000,3656.459858
2378.945838,1000,3661.554114
2170.931011,1000,3665.801866
2473.496012,1000,3670.916094
3061.057415,1000,3675.109318
2845.829843,1000,3680.205038
2556.493427,1000,3684.314883
2625.809979,1000,3689.430219
2754.532641,1000,3693.633974
2799.349497,1000,3698.806349
2758.489736,1000,3703.002477
2925.985685,1000,3708.096681
2826.469341,1000,3712.15378
2252.483409,1000,3717.260413
2478.676397,1000,3721.476886
2446.879935,1000,3726.610851
2590.868233,1000,3730.80138
3042.114855,1000,3735.935668
3208.068968,1000,3740.102552
2299.113857,1000,3745.188602
2554.720299,1000,3749.331645
2384.596729,1000,3754.415989
2915.324731,1000,3758.59366
2790.611696,1000,3763.728085
2445.059836,1000,3767.900827
2641.982482,1000,3773.04675
2928.727026,1000,3777.120677
2953.639823,1000,3782.250969
2441.65042,1000,3786.427889
2451.754611,1000,3791.597059
3050.963513,1000,3795.794624
2616.764364,1000,3800.935659
2491.807808,1000,3805.068561
2237.140281,1000,3810.182425
2225.34088,1000,3814.308275
2835.993587,1000,3819.407577
2790.379701,1000,3823.588832
2656.86435,1000,3828.708654
2465.447452,1000,3832.885747
2254.152707,1000,3838.053221
2768.267338,1000,3842.134098
2472.138782,1000,3847.267389
2362.30798,1000,3851.433562
2839.565568,1000,3856.548542
2617.779547,1000,3860.713035
2742.581568,1000,3865.8378
2460.983992,1000,3869.9674
2830.450811,1000,3875.099002
2517.575979,1000,3879.213784
2371.325613,1000,3884.338166
2966.537876,1000,3888.513525
2670.47887,1000,3893.663043
3189.254904,1000,3897.831501
2261.3464,1000,3903.001526
2413.858557,1000,3907.070113
2578.899199,1000,3912.231368
2772.236723,1000,3916.436352
3070.462161,1000,3921.586879
2531.15287,1000,3925.770583
2751.058572,1000,3930.945981
3326.730371,1000,3935.15536
