total/epochs,rollout/Q_mean,obs_rms_std,total/steps,reference_action_std,reference_actor_Q_std,train/param_noise_distance,obs_rms_mean,rollout/return,rollout/episodes,total/duration,reference_Q_std,train/loss_critic,total/episodes,reference_perturbed_action_std,reference_actor_Q_mean,rollout/return_history,total/steps_per_second,train/loss_actor,rollout/episode_steps,rollout/actions_mean,reference_Q_mean,reference_action_mean,param_noise_stddev,rollout/actions_std,reference_perturbed_action_mean
38,32.34916305541992,2.1102237701416016,76000,0.7799296975135803,62.1021614074707,0.15451526641845703,0.09924773126840591,149.463303327006,76.0,316.79405903816223,61.30406951904297,3.2516491413116455,76.0,0.7616995573043823,75.29981994628906,149.463303327006,239.9034888177772,-90.96469116210938,1000.0,0.06416583061218262,73.42672729492188,-0.4481201171875,0.029602352743226954,0.8057255148887634,-0.4672222137451172
39,33.72801208496094,2.11765193939209,78000,0.8004202246665955,63.80977249145508,0.18467934429645538,0.096250019967556,157.173236175634,78.0,325.1347689628601,62.777565002441406,19.108510971069336,78.0,0.741426408290863,76.71575927734375,157.173236175634,239.9005195562763,-91.7734146118164,1000.0,0.06386524438858032,75.12823486328125,-0.4295044243335724,0.029602352743226954,0.8075738549232483,-0.5056477189064026
40,33.839664459228516,2.1140201091766357,80000,0.8065882325172424,66.24737548828125,0.19118818640708923,0.09016911685466766,143.24676507135877,80.0,333.5988726615906,65.65655517578125,3.625816583633423,80.0,0.8627974390983582,79.41065979003906,143.24676507135877,239.8089638664745,-89.72152709960938,1000.0,0.06378785520792007,77.88499450683594,-0.42677345871925354,0.030804326970036468,0.8103075623512268,-0.37220606207847595
41,34.3064079284668,2.1089417934417725,82000,0.8509683012962341,67.98857879638672,0.22353291511535645,0.08550629764795303,138.6066576379386,82.0,341.99232363700867,67.70281219482422,26.270109176635742,82.0,0.8766934275627136,80.69391632080078,138.6066576379386,239.77146366312877,-93.77608489990234,1000.0,0.06240811571478844,79.85911560058594,-0.38399967551231384,0.03269941380439556,0.8134905099868774,-0.3658166229724884
42,35.984291076660156,2.123107671737671,84000,0.8405030369758606,70.35481262207031,0.24153386056423187,0.08593343198299408,150.3777361419504,84.0,350.4152102470398,69.55169677734375,11.367971420288086,84.0,0.8114147186279297,81.57923889160156,150.3777361419504,239.71562176419425,-93.28364562988281,1000.0,0.05571537837386131,80.07186126708984,-0.3532179296016693,0.0314234939421342,0.8144078254699707,-0.3055564761161804
43,38.63227844238281,2.1471126079559326,86000,0.8656996488571167,70.8192367553711,0.13939352333545685,0.08809501677751541,181.47061654140688,86.0,358.8518204689026,70.69322967529297,16.500762939453125,86.0,0.8707385063171387,80.84686279296875,181.47061654140688,239.65323594464695,-99.14347839355469,1000.0,0.05655687674880028,80.27820587158203,-0.35899439454078674,0.030804326970036468,0.8137244582176208,-0.3660019338130951
44,39.284671783447266,2.141378402709961,88000,0.8195110559463501,74.70840454101562,0.16972488164901733,0.08634346723556519,176.59057329991822,88.0,367.19572281837463,73.83106994628906,3.0419139862060547,88.0,0.880591630935669,82.85160064697266,176.59057329991822,239.65420763772698,-97.82495880126953,1000.0,0.04515978321433067,81.53247833251953,-0.34165695309638977,0.0314234939421342,0.8166269063949585,-0.2872478663921356
45,41.959693908691406,2.1539926528930664,90000,0.8421161770820618,77.24837493896484,0.1672229766845703,0.08770514279603958,201.28636720596762,90.0,375.62257647514343,76.64532470703125,32.024295806884766,90.0,0.8539568781852722,84.24372863769531,201.28636720596762,239.60221146599713,-99.50602722167969,1000.0,0.04434829577803612,82.80485534667969,-0.30341845750808716,0.0314234939421342,0.8162916302680969,-0.3192497193813324
46,44.61575698852539,2.173412799835205,92000,0.9230217933654785,78.875732421875,0.24577286839485168,0.08976663649082184,230.18451668342502,92.0,383.904661655426,77.54261016845703,12.195221900939941,92.0,0.8938519954681396,84.68943786621094,230.18451668342502,239.6428311218963,-102.282958984375,1000.0,0.04509712755680084,82.9893798828125,-0.19259478151798248,0.029019069447335507,0.81502366065979,-0.21931011974811554
47,45.885562896728516,2.1715831756591797,94000,0.9369087219238281,83.44749450683594,0.21341028809547424,0.08855906128883362,233.0559749024009,94.0,392.31631231307983,82.12089538574219,12.873665809631348,94.0,0.9349523782730103,85.78126525878906,233.0559749024009,239.60257845456414,-102.65449523925781,1000.0,0.041735630482435226,84.32742309570312,-0.17840339243412018,0.028447279136688073,0.8167266845703125,-0.1930544376373291
48,48.419891357421875,2.1875863075256348,96000,0.904973566532135,86.57170867919922,0.18196728825569153,0.09035070985555649,254.77467472739968,96.0,400.61345911026,85.58429718017578,7.2780914306640625,96.0,0.9315556883811951,86.3967056274414,254.77467472739968,239.63248816754836,-105.45472717285156,1000.0,0.0411844402551651,84.91173553466797,-0.2588791847229004,0.030197360033365813,0.8165138959884644,-0.23892433941364288
49,50.89640426635742,2.201251745223999,98000,0.8987967371940613,85.4212417602539,0.17639872431755066,0.09176605939865112,278.6785293400739,98.0,409.0452585220337,84.86837005615234,17.359697341918945,98.0,0.9109690189361572,87.78401184082031,278.6785293400739,239.5822906103216,-108.01333618164062,1000.0,0.04090457409620285,86.50796508789062,-0.30395370721817017,0.028447279136688073,0.8153172731399536,-0.32307344675064087
50,53.31644821166992,2.216742992401123,100000,0.9184433817863464,86.240966796875,0.14929910004138947,0.09342245012521744,302.19062534892436,100.0,417.38297414779663,86.14360809326172,45.5222282409668,100.0,0.9109288454055786,86.41717529296875,302.19062534892436,239.58811497804336,-107.25318145751953,1000.0,0.042575739324092865,85.88999938964844,-0.31485700607299805,0.027337276104373337,0.814333975315094,-0.31063327193260193
51,53.63540267944336,2.2107934951782227,102000,0.9320313334465027,86.51473236083984,0.16739580035209656,0.09191645681858063,298.2982283327393,102.0,425.8109509944916,85.60208892822266,31.591379165649414,102.0,0.9248403906822205,87.34123229980469,311.57476369599044,239.54292336018267,-110.70472717285156,1000.0,0.03907455503940582,85.72357177734375,-0.30414506793022156,0.02960235274322695,0.8164433836936951,-0.31288304924964905
52,56.0097541809082,2.2260642051696777,104000,0.9339805841445923,89.08936309814453,0.17587894201278687,0.09321395307779312,318.82070977062597,104.0,434.2249186038971,87.85872650146484,15.731910705566406,104.0,0.9265673160552979,89.28852081298828,346.6995696367821,239.50721283885946,-113.71487426757812,1000.0,0.03957033529877663,87.61209106445312,-0.29814913868904114,0.029019069447335507,0.8153552412986755,-0.3019896447658539
53,56.32444381713867,2.219158411026001,106000,0.9347034096717834,89.1643295288086,0.18085743486881256,0.09227541089057922,313.40314202437867,106.0,442.6048879623413,88.48746490478516,7.289345741271973,106.0,0.9307098984718323,89.9239501953125,355.57622734233655,239.4912548029043,-114.27857208251953,1000.0,0.03766759857535362,88.1759033203125,-0.29615363478660583,0.030197360033365813,0.8178158402442932,-0.2992776930332184
